step,train_loss,val_loss,lr,sec_per_step
100,9.56093,,1.500000e-05,0.094
200,8.54526,,3.000000e-05,0.090
300,7.48051,,4.500000e-05,0.089
400,6.91438,,6.000000e-05,0.085
500,6.57389,,7.500000e-05,0.085
600,6.27934,,9.000000e-05,0.085
700,6.02844,,1.050000e-04,0.085
800,5.81863,,1.200000e-04,0.085
900,5.62748,,1.350000e-04,0.086
1000,5.45016,5.29629,1.500000e-04,0.087
1100,5.27395,,1.650000e-04,0.087
1200,5.10797,,1.800000e-04,0.087
1300,4.93345,,1.950000e-04,0.088
1400,4.77686,,2.100000e-04,0.088
1500,4.64095,,2.250000e-04,0.087
1600,4.48243,,2.400000e-04,0.087
1700,4.32373,,2.550000e-04,0.087
1800,4.19388,,2.700000e-04,0.086
1900,4.04170,,2.850000e-04,0.086
2000,3.89389,3.72667,3.000000e-04,0.086
2100,3.75640,,2.999978e-04,0.086
2200,3.60756,,2.999912e-04,0.086
2300,3.46271,,2.999802e-04,0.086
2400,3.33077,,2.999648e-04,0.086
2500,3.19328,,2.999450e-04,0.086
2600,3.05562,,2.999208e-04,0.085
2700,2.97851,,2.998922e-04,0.085
2800,2.81507,,2.998592e-04,0.085
2900,2.75795,,2.998218e-04,0.085
3000,2.62904,2.51662,2.997800e-04,0.085
3100,2.55720,,2.997338e-04,0.085
3200,2.47998,,2.996833e-04,0.085
3300,2.43342,,2.996283e-04,0.085
3400,2.39064,,2.995689e-04,0.085
3500,2.31028,,2.995052e-04,0.085
3600,2.22166,,2.994370e-04,0.085
3700,2.19715,,2.993645e-04,0.085
3800,2.12082,,2.992876e-04,0.085
3900,2.09087,,2.992064e-04,0.085
4000,2.00118,1.87878,2.991207e-04,0.085
4100,2.01249,,2.990307e-04,0.085
4200,1.98585,,2.989363e-04,0.085
4300,1.91436,,2.988375e-04,0.085
4400,1.86150,,2.987343e-04,0.085
4500,1.87653,,2.986268e-04,0.084
4600,1.85030,,2.985150e-04,0.084
4700,1.77446,,2.983988e-04,0.084
4800,1.75671,,2.982782e-04,0.084
4900,1.70736,,2.981533e-04,0.084
5000,1.72302,1.57425,2.980240e-04,0.084
5100,1.64856,,2.978904e-04,0.084
5200,1.67234,,2.977524e-04,0.084
5300,1.66440,,2.976101e-04,0.084
5400,1.62909,,2.974635e-04,0.084
5500,1.62213,,2.973126e-04,0.084
5600,1.59229,,2.971573e-04,0.084
5700,1.56886,,2.969977e-04,0.084
5800,1.55458,,2.968338e-04,0.084
5900,1.54825,,2.966656e-04,0.084
6000,1.53175,1.40809,2.964931e-04,0.084
6100,1.53437,,2.963163e-04,0.084
6200,1.49661,,2.961352e-04,0.084
6300,1.51829,,2.959498e-04,0.084
6400,1.49149,,2.957601e-04,0.084
6500,1.45750,,2.955662e-04,0.084
6600,1.45549,,2.953680e-04,0.084
6700,1.45411,,2.951655e-04,0.084
6800,1.43165,,2.949587e-04,0.084
6900,1.43381,,2.947477e-04,0.084
7000,1.41336,1.31070,2.945325e-04,0.084
7100,1.39798,,2.943130e-04,0.084
7200,1.37915,,2.940893e-04,0.084
7300,1.39453,,2.938614e-04,0.084
7400,1.39238,,2.936292e-04,0.084
7500,1.40861,,2.933928e-04,0.084
7600,1.38806,,2.931522e-04,0.084
7700,1.36289,,2.929075e-04,0.084
7800,1.37600,,2.926585e-04,0.084
7900,1.37921,,2.924053e-04,0.084
8000,1.35326,1.23294,2.921480e-04,0.084
8100,1.32776,,2.918865e-04,0.084
8200,1.33629,,2.916208e-04,0.084
8300,1.34011,,2.913510e-04,0.084
8400,1.31945,,2.910770e-04,0.084
8500,1.29967,,2.907989e-04,0.084
8600,1.28689,,2.905166e-04,0.084
8700,1.31913,,2.902303e-04,0.084
8800,1.33047,,2.899398e-04,0.084
8900,1.28375,,2.896452e-04,0.084
9000,1.29944,1.18143,2.893465e-04,0.084
9100,1.27934,,2.890437e-04,0.084
9200,1.27908,,2.887369e-04,0.084
9300,1.27054,,2.884260e-04,0.084
9400,1.27425,,2.881110e-04,0.084
9500,1.25245,,2.877919e-04,0.084
9600,1.24920,,2.874689e-04,0.084
9700,1.24179,,2.871418e-04,0.084
9800,1.26138,,2.868106e-04,0.084
9900,1.24526,,2.864755e-04,0.084
10000,1.22422,1.14835,2.861363e-04,0.084
10100,1.25873,,2.857932e-04,0.084
10200,1.25135,,2.854460e-04,0.084
10300,1.24090,,2.850949e-04,0.084
10400,1.22722,,2.847399e-04,0.084
10500,1.21666,,2.843808e-04,0.084
10600,1.22924,,2.840179e-04,0.084
10700,1.18489,,2.836510e-04,0.084
10800,1.23876,,2.832802e-04,0.084
10900,1.20053,,2.829054e-04,0.084
11000,1.22285,1.10266,2.825268e-04,0.084
11100,1.21327,,2.821443e-04,0.084
11200,1.22182,,2.817579e-04,0.084
11300,1.19429,,2.813676e-04,0.084
11400,1.19309,,2.809735e-04,0.084
11500,1.20542,,2.805756e-04,0.084
11600,1.17165,,2.801738e-04,0.084
11700,1.19081,,2.797682e-04,0.084
11800,1.16281,,2.793588e-04,0.084
11900,1.17199,,2.789456e-04,0.084
12000,1.21271,1.08584,2.785286e-04,0.084
12100,1.17947,,2.781078e-04,0.084
12200,1.19858,,2.776833e-04,0.084
12300,1.16304,,2.772550e-04,0.084
12400,1.15766,,2.768230e-04,0.084
12500,1.15870,,2.763873e-04,0.084
12600,1.14459,,2.759479e-04,0.084
12700,1.15728,,2.755048e-04,0.084
12800,1.20833,,2.750580e-04,0.084
12900,1.12847,,2.746075e-04,0.084
13000,1.16060,1.05854,2.741533e-04,0.084
13100,1.14666,,2.736956e-04,0.084
13200,1.15979,,2.732342e-04,0.084
13300,1.15546,,2.727692e-04,0.084
13400,1.13684,,2.723005e-04,0.084
13500,1.13492,,2.718283e-04,0.084
13600,1.11917,,2.713525e-04,0.084
13700,1.13556,,2.708732e-04,0.084
13800,1.15087,,2.703903e-04,0.084
13900,1.13488,,2.699039e-04,0.083
14000,1.11998,1.03200,2.694140e-04,0.084
14100,1.20913,,2.689205e-04,0.084
14200,1.13927,,2.684236e-04,0.084
14300,1.13506,,2.679232e-04,0.083
14400,1.13406,,2.674193e-04,0.083
14500,1.10927,,2.669120e-04,0.084
14600,1.11924,,2.664013e-04,0.084
14700,1.11080,,2.658871e-04,0.083
14800,1.13010,,2.653696e-04,0.083
14900,1.12863,,2.648486e-04,0.083
15000,1.09655,1.02441,2.643243e-04,0.084
15100,1.08310,,2.637966e-04,0.083
15200,1.08714,,2.632656e-04,0.083
15300,1.09873,,2.627313e-04,0.083
15400,1.07726,,2.621937e-04,0.084
15500,1.08346,,2.616528e-04,0.083
15600,1.08833,,2.611086e-04,0.083
15700,1.10002,,2.605611e-04,0.083
15800,1.10597,,2.600104e-04,0.083
15900,1.07622,,2.594565e-04,0.083
16000,1.06864,1.01289,2.588993e-04,0.083
16100,1.07543,,2.583390e-04,0.083
16200,1.07836,,2.577755e-04,0.083
16300,1.07538,,2.572088e-04,0.083
16400,1.09314,,2.566390e-04,0.083
16500,1.12548,,2.560660e-04,0.083
16600,1.06636,,2.554900e-04,0.083
16700,1.08684,,2.549108e-04,0.083
16800,1.09049,,2.543286e-04,0.084
16900,1.09459,,2.537433e-04,0.084
17000,1.07332,0.97766,2.531549e-04,0.083
17100,1.07235,,2.525636e-04,0.083
17200,1.08274,,2.519692e-04,0.083
17300,1.09108,,2.513718e-04,0.083
17400,1.06489,,2.507715e-04,0.083
17500,1.07557,,2.501682e-04,0.083
17600,1.04540,,2.495619e-04,0.083
17700,1.08990,,2.489528e-04,0.083
17800,1.06429,,2.483407e-04,0.083
17900,1.03631,,2.477258e-04,0.083
18000,1.05822,0.96957,2.471079e-04,0.083
18100,1.09021,,2.464873e-04,0.083
18200,1.05905,,2.458638e-04,0.083
18300,1.05227,,2.452375e-04,0.083
18400,1.05211,,2.446084e-04,0.083
18500,1.05286,,2.439765e-04,0.083
18600,1.08078,,2.433419e-04,0.083
18700,1.05576,,2.427045e-04,0.083
18800,1.04414,,2.420644e-04,0.083
18900,1.02059,,2.414216e-04,0.083
19000,1.03710,0.95775,2.407761e-04,0.083
19100,1.04620,,2.401280e-04,0.083
19200,1.04972,,2.394772e-04,0.083
19300,1.00798,,2.388238e-04,0.083
19400,0.99278,,2.381678e-04,0.083
19500,1.04028,,2.375092e-04,0.083
19600,1.06350,,2.368480e-04,0.083
19700,1.01629,,2.361843e-04,0.083
