step,train_loss,val_loss,lr,sec_per_step
100,9.53097,,1.500000e-05,0.126
200,8.52758,,3.000000e-05,0.123
300,7.43815,,4.500000e-05,0.117
400,6.85473,,6.000000e-05,0.118
500,6.50631,,7.500000e-05,0.119
600,6.22168,,9.000000e-05,0.117
700,5.96876,,1.050000e-04,0.118
800,5.75276,,1.200000e-04,0.116
900,5.55942,,1.350000e-04,0.117
1000,5.37807,5.21424,1.500000e-04,0.117
1100,5.20170,,1.650000e-04,0.117
1200,5.03813,,1.800000e-04,0.117
1300,4.85828,,1.950000e-04,0.117
1400,4.69623,,2.100000e-04,0.116
1500,4.55219,,2.250000e-04,0.117
1600,4.37677,,2.400000e-04,0.117
1700,4.19936,,2.550000e-04,0.116
1800,4.05662,,2.700000e-04,0.116
1900,3.86034,,2.850000e-04,0.116
2000,3.68365,3.49704,3.000000e-04,0.116
2100,3.52483,,2.999978e-04,0.116
2200,3.34461,,2.999912e-04,0.116
2300,3.19075,,2.999802e-04,0.116
2400,3.02543,,2.999648e-04,0.116
2500,2.87001,,2.999450e-04,0.116
2600,2.71231,,2.999208e-04,0.116
2700,2.63234,,2.998922e-04,0.116
2800,2.43923,,2.998592e-04,0.116
2900,2.38861,,2.998218e-04,0.116
3000,2.23551,2.12071,2.997800e-04,0.116
3100,2.16296,,2.997338e-04,0.116
3200,2.07817,,2.996833e-04,0.116
3300,2.02250,,2.996283e-04,0.116
3400,1.96276,,2.995689e-04,0.116
3500,1.87204,,2.995052e-04,0.116
3600,1.78359,,2.994370e-04,0.115
3700,1.76970,,2.993645e-04,0.116
3800,1.68778,,2.992876e-04,0.115
3900,1.64579,,2.992064e-04,0.115
4000,1.57438,1.44371,2.991207e-04,0.116
4100,1.56200,,2.990307e-04,0.115
4200,1.53244,,2.989363e-04,0.115
4300,1.46214,,2.988375e-04,0.115
4400,1.41016,,2.987343e-04,0.115
4500,1.43204,,2.986268e-04,0.115
4600,1.39137,,2.985150e-04,0.114
4700,1.31401,,2.983988e-04,0.114
4800,1.30731,,2.982782e-04,0.114
4900,1.25497,,2.981533e-04,0.114
5000,1.27482,1.12255,2.980240e-04,0.113
5100,1.20579,,2.978904e-04,0.113
5200,1.21627,,2.977524e-04,0.113
5300,1.20213,,2.976101e-04,0.113
5400,1.16091,,2.974635e-04,0.113
5500,1.15498,,2.973126e-04,0.113
5600,1.11948,,2.971573e-04,0.112
5700,1.09259,,2.969977e-04,0.112
5800,1.08582,,2.968338e-04,0.112
5900,1.07331,,2.966656e-04,0.112
6000,1.04757,0.93341,2.964931e-04,0.112
6100,1.05456,,2.963163e-04,0.112
6200,1.01101,,2.961352e-04,0.112
6300,1.01388,,2.959498e-04,0.112
6400,0.98150,,2.957601e-04,0.112
6500,0.96617,,2.955662e-04,0.112
6600,0.95459,,2.953680e-04,0.113
6700,0.94152,,2.951655e-04,0.112
6800,0.92762,,2.949587e-04,0.113
6900,0.91350,,2.947477e-04,0.113
7000,0.90151,0.79544,2.945325e-04,0.113
7100,0.86904,,2.943130e-04,0.113
7200,0.86309,,2.940893e-04,0.113
7300,0.87325,,2.938614e-04,0.113
7400,0.86492,,2.936292e-04,0.113
7500,0.86632,,2.933928e-04,0.113
7600,0.84949,,2.931522e-04,0.112
7700,0.83245,,2.929075e-04,0.112
7800,0.84476,,2.926585e-04,0.112
7900,0.83810,,2.924053e-04,0.112
8000,0.82154,0.73442,2.921480e-04,0.112
8100,0.79834,,2.918865e-04,0.112
8200,0.79589,,2.916208e-04,0.112
8300,0.81343,,2.913510e-04,0.112
8400,0.78199,,2.910770e-04,0.112
8500,0.76788,,2.907989e-04,0.112
8600,0.75440,,2.905166e-04,0.112
8700,0.78697,,2.902303e-04,0.111
8800,0.78090,,2.899398e-04,0.111
8900,0.74941,,2.896452e-04,0.111
9000,0.75457,0.66561,2.893465e-04,0.111
9100,0.73627,,2.890437e-04,0.111
9200,0.72752,,2.887369e-04,0.111
9300,0.72562,,2.884260e-04,0.111
9400,0.71814,,2.881110e-04,0.111
9500,0.70563,,2.877919e-04,0.111
9600,0.68573,,2.874689e-04,0.111
9700,0.68765,,2.871418e-04,0.111
9800,0.69582,,2.868106e-04,0.111
9900,0.68694,,2.864755e-04,0.110
10000,0.66310,0.59363,2.861363e-04,0.110
10100,0.68437,,2.857932e-04,0.110
10200,0.67748,,2.854460e-04,0.110
10300,0.65602,,2.850949e-04,0.110
10400,0.65858,,2.847399e-04,0.110
10500,0.64225,,2.843808e-04,0.110
10600,0.64764,,2.840179e-04,0.110
10700,0.62051,,2.836510e-04,0.110
10800,0.64912,,2.832802e-04,0.110
10900,0.62715,,2.829054e-04,0.110
11000,0.63751,0.53797,2.825268e-04,0.110
11100,0.62531,,2.821443e-04,0.110
11200,0.63646,,2.817579e-04,0.109
11300,0.61315,,2.813676e-04,0.109
11400,0.60271,,2.809735e-04,0.109
11500,0.60885,,2.805756e-04,0.109
11600,0.59195,,2.801738e-04,0.110
11700,0.60541,,2.797682e-04,0.110
11800,0.59099,,2.793588e-04,0.110
11900,0.58745,,2.789456e-04,0.110
12000,0.61282,0.50827,2.785286e-04,0.110
12100,0.58544,,2.781078e-04,0.110
12200,0.59660,,2.776833e-04,0.110
12300,0.56719,,2.772550e-04,0.110
12400,0.57479,,2.768230e-04,0.110
12500,0.56774,,2.763873e-04,0.110
12600,0.55385,,2.759479e-04,0.110
12700,0.55911,,2.755048e-04,0.110
12800,0.59265,,2.750580e-04,0.110
12900,0.54095,,2.746075e-04,0.110
13000,0.56356,0.48591,2.741533e-04,0.110
13100,0.54500,,2.736956e-04,0.110
13200,0.56121,,2.732342e-04,0.110
13300,0.55147,,2.727692e-04,0.110
13400,0.54007,,2.723005e-04,0.110
13500,0.54329,,2.718283e-04,0.110
13600,0.53436,,2.713525e-04,0.110
13700,0.53617,,2.708732e-04,0.110
13800,0.54910,,2.703903e-04,0.110
13900,0.52856,,2.699039e-04,0.110
14000,0.52096,0.46137,2.694140e-04,0.111
14100,0.60602,,2.689205e-04,0.111
14200,0.53759,,2.684236e-04,0.111
14300,0.53696,,2.679232e-04,0.111
14400,0.53673,,2.674193e-04,0.111
14500,0.51622,,2.669120e-04,0.111
14600,0.52079,,2.664013e-04,0.111
14700,0.51622,,2.658871e-04,0.111
14800,0.51947,,2.653696e-04,0.111
14900,0.51811,,2.648486e-04,0.111
15000,0.49968,0.44251,2.643243e-04,0.111
15100,0.49182,,2.637966e-04,0.111
15200,0.49158,,2.632656e-04,0.111
15300,0.48630,,2.627313e-04,0.111
15400,0.49054,,2.621937e-04,0.111
15500,0.49344,,2.616528e-04,0.111
15600,0.49115,,2.611086e-04,0.111
15700,0.49725,,2.605611e-04,0.111
15800,0.49916,,2.600104e-04,0.111
15900,0.48296,,2.594565e-04,0.111
16000,0.46924,0.42992,2.588993e-04,0.111
16100,0.48295,,2.583390e-04,0.111
16200,0.48130,,2.577755e-04,0.111
16300,0.47822,,2.572088e-04,0.111
16400,0.48166,,2.566390e-04,0.111
16500,0.49921,,2.560660e-04,0.111
16600,0.47426,,2.554900e-04,0.111
16700,0.48679,,2.549108e-04,0.111
16800,0.48416,,2.543286e-04,0.112
16900,0.48785,,2.537433e-04,0.112
17000,0.46882,0.40872,2.531549e-04,0.112
17100,0.47848,,2.525636e-04,0.112
17200,0.47597,,2.519692e-04,0.112
17300,0.48534,,2.513718e-04,0.112
17400,0.46291,,2.507715e-04,0.112
17500,0.46478,,2.501682e-04,0.112
17600,0.45600,,2.495619e-04,0.112
17700,0.46451,,2.489528e-04,0.112
17800,0.46847,,2.483407e-04,0.112
17900,0.43929,,2.477258e-04,0.112
18000,0.45550,0.38873,2.471079e-04,0.112
18100,0.47442,,2.464873e-04,0.112
18200,0.45075,,2.458638e-04,0.112
18300,0.44921,,2.452375e-04,0.112
18400,0.45597,,2.446084e-04,0.112
18500,0.44660,,2.439765e-04,0.112
18600,0.46452,,2.433419e-04,0.111
18700,0.45163,,2.427045e-04,0.111
18800,0.44456,,2.420644e-04,0.111
18900,0.42857,,2.414216e-04,0.111
19000,0.43924,0.37192,2.407761e-04,0.111
19100,0.43408,,2.401280e-04,0.111
19200,0.44889,,2.394772e-04,0.111
19300,0.41712,,2.388238e-04,0.111
19400,0.41380,,2.381678e-04,0.111
19500,0.43674,,2.375092e-04,0.111
19600,0.44719,,2.368480e-04,0.111
19700,0.42188,,2.361843e-04,0.111
19800,0.41583,,2.355181e-04,0.111
19900,0.42413,,2.348493e-04,0.111
20000,0.42203,0.36704,2.341781e-04,0.111
20100,0.43121,,2.335043e-04,0.111
20200,0.43207,,2.328282e-04,0.111
20300,0.42523,,2.321496e-04,0.111
20400,0.42281,,2.314686e-04,0.111
20500,0.40780,,2.307852e-04,0.111
20600,0.41213,,2.300994e-04,0.111
20700,0.44320,,2.294113e-04,0.111
20800,0.41754,,2.287209e-04,0.111
20900,0.44410,,2.280281e-04,0.111
21000,0.42015,0.36173,2.273331e-04,0.111
21100,0.41326,,2.266358e-04,0.111
21200,0.40780,,2.259362e-04,0.111
21300,0.41919,,2.252344e-04,0.111
21400,0.41313,,2.245304e-04,0.110
21500,0.40681,,2.238242e-04,0.110
21600,0.39905,,2.231159e-04,0.110
21700,0.40228,,2.224054e-04,0.110
21800,0.39020,,2.216928e-04,0.110
21900,0.40262,,2.209781e-04,0.110
22000,0.37828,0.34212,2.202613e-04,0.110
22100,0.38274,,2.195424e-04,0.110
22200,0.37586,,2.188215e-04,0.110
22300,0.39978,,2.180986e-04,0.110
22400,0.40728,,2.173737e-04,0.110
22500,0.38153,,2.166468e-04,0.110
22600,0.38583,,2.159179e-04,0.110
22700,0.38226,,2.151871e-04,0.110
22800,0.36217,,2.144544e-04,0.111
22900,0.37936,,2.137198e-04,0.111
23000,0.39453,0.32626,2.129834e-04,0.111
23100,0.38816,,2.122451e-04,0.111
23200,0.38014,,2.115049e-04,0.111
23300,0.38562,,2.107630e-04,0.111
23400,0.36599,,2.100193e-04,0.111
23500,0.36475,,2.092738e-04,0.111
23600,0.37835,,2.085266e-04,0.111
23700,0.36190,,2.077776e-04,0.111
23800,0.36565,,2.070270e-04,0.111
23900,0.38219,,2.062747e-04,0.111
24000,0.37022,0.31567,2.055207e-04,0.111
24100,0.36223,,2.047651e-04,0.111
