step,train_loss,val_loss,lr,sec_per_step
100,9.54809,,1.500000e-05,0.125
200,8.50128,,3.000000e-05,0.128
300,7.42363,,4.500000e-05,0.125
400,6.84730,,6.000000e-05,0.125
500,6.51987,,7.500000e-05,0.126
600,6.24852,,9.000000e-05,0.124
700,6.00247,,1.050000e-04,0.125
800,5.80571,,1.200000e-04,0.124
900,5.63444,,1.350000e-04,0.125
1000,5.47794,5.31842,1.500000e-04,0.125
1100,5.32254,,1.650000e-04,0.125
1200,5.18585,,1.800000e-04,0.125
1300,5.04979,,1.950000e-04,0.124
1400,4.93910,,2.100000e-04,0.125
1500,4.83535,,2.250000e-04,0.125
1600,4.69677,,2.400000e-04,0.125
1700,4.59244,,2.550000e-04,0.125
1800,4.48966,,2.700000e-04,0.124
1900,4.36532,,2.850000e-04,0.125
2000,4.24338,4.09806,3.000000e-04,0.125
2100,4.11072,,2.999978e-04,0.125
2200,3.95851,,2.999912e-04,0.125
2300,3.80121,,2.999802e-04,0.125
2400,3.64834,,2.999648e-04,0.125
2500,3.49684,,2.999450e-04,0.125
2600,3.32182,,2.999208e-04,0.125
2700,3.20859,,2.998922e-04,0.125
2800,3.03580,,2.998592e-04,0.125
2900,2.91276,,2.998218e-04,0.125
3000,2.72105,2.57760,2.997800e-04,0.125
3100,2.59977,,2.997338e-04,0.125
3200,2.46833,,2.996833e-04,0.125
3300,2.33038,,2.996283e-04,0.125
3400,2.23131,,2.995689e-04,0.125
3500,2.10051,,2.995052e-04,0.125
3600,1.96653,,2.994370e-04,0.125
3700,1.87704,,2.993645e-04,0.125
3800,1.76435,,2.992876e-04,0.124
3900,1.69195,,2.992064e-04,0.125
4000,1.56869,1.42879,2.991207e-04,0.125
4100,1.52341,,2.990307e-04,0.125
4200,1.44784,,2.989363e-04,0.125
4300,1.38380,,2.988375e-04,0.125
4400,1.31996,,2.987343e-04,0.125
4500,1.30338,,2.986268e-04,0.125
4600,1.25926,,2.985150e-04,0.125
4700,1.17934,,2.983988e-04,0.125
4800,1.14626,,2.982782e-04,0.125
4900,1.08528,,2.981533e-04,0.125
5000,1.06603,0.94354,2.980240e-04,0.125
5100,0.99956,,2.978904e-04,0.125
5200,0.99588,,2.977524e-04,0.125
5300,0.97585,,2.976101e-04,0.125
5400,0.92086,,2.974635e-04,0.125
5500,0.91277,,2.973126e-04,0.125
5600,0.87939,,2.971573e-04,0.125
5700,0.84524,,2.969977e-04,0.125
5800,0.83506,,2.968338e-04,0.124
5900,0.81700,,2.966656e-04,0.124
6000,0.79288,0.70334,2.964931e-04,0.124
6100,0.79303,,2.963163e-04,0.124
6200,0.74722,,2.961352e-04,0.124
6300,0.75414,,2.959498e-04,0.124
6400,0.73300,,2.957601e-04,0.123
6500,0.71828,,2.955662e-04,0.123
6600,0.70541,,2.953680e-04,0.123
6700,0.70419,,2.951655e-04,0.123
6800,0.67479,,2.949587e-04,0.123
6900,0.67500,,2.947477e-04,0.123
7000,0.66312,0.59960,2.945325e-04,0.123
7100,0.63295,,2.943130e-04,0.123
7200,0.63376,,2.940893e-04,0.123
7300,0.63221,,2.938614e-04,0.123
7400,0.62364,,2.936292e-04,0.123
7500,0.61653,,2.933928e-04,0.122
7600,0.61341,,2.931522e-04,0.122
7700,0.59524,,2.929075e-04,0.122
7800,0.59528,,2.926585e-04,0.122
7900,0.60690,,2.924053e-04,0.122
8000,0.58777,0.52572,2.921480e-04,0.122
8100,0.56822,,2.918865e-04,0.122
8200,0.57374,,2.916208e-04,0.122
8300,0.57138,,2.913510e-04,0.122
8400,0.55352,,2.910770e-04,0.122
8500,0.54923,,2.907989e-04,0.122
8600,0.54147,,2.905166e-04,0.122
8700,0.54396,,2.902303e-04,0.122
8800,0.55761,,2.899398e-04,0.122
8900,0.52840,,2.896452e-04,0.121
9000,0.53553,0.46394,2.893465e-04,0.121
9100,0.51127,,2.890437e-04,0.121
9200,0.50576,,2.887369e-04,0.121
9300,0.50145,,2.884260e-04,0.121
9400,0.49979,,2.881110e-04,0.121
9500,0.49551,,2.877919e-04,0.121
9600,0.47818,,2.874689e-04,0.121
9700,0.47582,,2.871418e-04,0.121
9800,0.47766,,2.868106e-04,0.121
9900,0.48247,,2.864755e-04,0.121
10000,0.45517,0.40716,2.861363e-04,0.121
10100,0.47402,,2.857932e-04,0.121
10200,0.47347,,2.854460e-04,0.120
10300,0.44828,,2.850949e-04,0.120
10400,0.45399,,2.847399e-04,0.120
10500,0.44172,,2.843808e-04,0.120
10600,0.44726,,2.840179e-04,0.120
10700,0.42860,,2.836510e-04,0.120
10800,0.44955,,2.832802e-04,0.120
10900,0.43171,,2.829054e-04,0.120
11000,0.43839,0.36746,2.825268e-04,0.120
11100,0.42817,,2.821443e-04,0.120
11200,0.43218,,2.817579e-04,0.120
11300,0.41895,,2.813676e-04,0.120
11400,0.40807,,2.809735e-04,0.120
11500,0.41587,,2.805756e-04,0.120
11600,0.40835,,2.801738e-04,0.120
11700,0.41796,,2.797682e-04,0.120
11800,0.39952,,2.793588e-04,0.120
11900,0.40191,,2.789456e-04,0.120
12000,0.41911,0.34593,2.785286e-04,0.120
12100,0.39899,,2.781078e-04,0.120
12200,0.40494,,2.776833e-04,0.120
12300,0.37543,,2.772550e-04,0.120
12400,0.38897,,2.768230e-04,0.120
12500,0.38303,,2.763873e-04,0.121
12600,0.37530,,2.759479e-04,0.121
12700,0.37783,,2.755048e-04,0.121
12800,0.39125,,2.750580e-04,0.121
12900,0.35968,,2.746075e-04,0.121
13000,0.37495,0.31904,2.741533e-04,0.121
13100,0.36078,,2.736956e-04,0.121
13200,0.37385,,2.732342e-04,0.121
13300,0.36636,,2.727692e-04,0.121
13400,0.35683,,2.723005e-04,0.121
13500,0.36367,,2.718283e-04,0.121
13600,0.35680,,2.713525e-04,0.121
13700,0.35140,,2.708732e-04,0.121
13800,0.36379,,2.703903e-04,0.121
13900,0.34741,,2.699039e-04,0.120
14000,0.33854,0.30220,2.694140e-04,0.120
14100,0.35974,,2.689205e-04,0.120
14200,0.34828,,2.684236e-04,0.120
14300,0.35341,,2.679232e-04,0.120
14400,0.35128,,2.674193e-04,0.120
14500,0.33837,,2.669120e-04,0.120
14600,0.34034,,2.664013e-04,0.120
14700,0.33276,,2.658871e-04,0.120
14800,0.33943,,2.653696e-04,0.120
14900,0.33216,,2.648486e-04,0.120
15000,0.32423,0.28255,2.643243e-04,0.120
15100,0.31309,,2.637966e-04,0.120
15200,0.31646,,2.632656e-04,0.120
15300,0.30859,,2.627313e-04,0.120
15400,0.31525,,2.621937e-04,0.120
15500,0.31820,,2.616528e-04,0.120
15600,0.31393,,2.611086e-04,0.120
15700,0.32019,,2.605611e-04,0.120
15800,0.31796,,2.600104e-04,0.120
15900,0.31232,,2.594565e-04,0.120
16000,0.29631,0.27268,2.588993e-04,0.120
16100,0.31246,,2.583390e-04,0.120
16200,0.30655,,2.577755e-04,0.120
16300,0.30134,,2.572088e-04,0.120
16400,0.30411,,2.566390e-04,0.120
