K,method,token_acc,semsim,fluency_ppl
1,greedy,0.11524894023386878,0.4421375095844269,1103.2023691070706
1,cycle-only,0.11637085061374819,0.4419914782047272,1133.439006288746
1,fluency-only,0.11595161576042301,0.436927855014801,1118.1921159382134
1,cycle+fluency,0.1181620298193593,0.4443247318267822,1106.716247386343
1,oracle-sem,0.11375066098116804,0.5016019940376282,1670.734327914635
4,greedy,0.1030817450809991,0.4119834899902344,1773.9417712020172
4,cycle-only,0.1062598322678241,0.41120630502700806,1846.1135619115062
4,fluency-only,0.10576976876473054,0.3988034129142761,1838.5766304552744
4,cycle+fluency,0.10585543966590194,0.41274023056030273,1793.5521360230898
4,oracle-sem,0.10360899214356323,0.47098657488822937,2484.167182207696
16,greedy,0.16416804717300693,0.48470139503479004,1601.1258493222083
16,cycle-only,0.1734787076493376,0.4739573001861572,1850.0000883954376
16,fluency-only,0.16698405237548286,0.47200214862823486,1643.9187201880407
16,cycle+fluency,0.17089976729039336,0.48361900448799133,1637.450193578403
16,oracle-sem,0.1643378428707365,0.5391917824745178,2099.3288210294454
