step,train_loss,val_loss,lr,sec_per_step
100,9.53257,,1.500000e-05,0.105
200,8.53411,,3.000000e-05,0.108
300,7.45811,,4.500000e-05,0.109
400,6.88857,,6.000000e-05,0.107
500,6.53025,,7.500000e-05,0.108
600,6.26323,,9.000000e-05,0.109
700,6.04693,,1.050000e-04,0.108
800,5.82467,,1.200000e-04,0.109
900,5.62857,,1.350000e-04,0.108
1000,5.44436,5.29737,1.500000e-04,0.109
1100,5.27244,,1.650000e-04,0.109
1200,5.13274,,1.800000e-04,0.108
1300,4.98617,,1.950000e-04,0.109
1400,4.85278,,2.100000e-04,0.109
1500,4.71197,,2.250000e-04,0.108
1600,4.56387,,2.400000e-04,0.108
1700,4.41991,,2.550000e-04,0.108
1800,4.26808,,2.700000e-04,0.107
1900,4.10317,,2.850000e-04,0.107
2000,3.96978,3.90857,3.000000e-04,0.107
2100,3.85166,,2.999978e-04,0.107
2200,3.65455,,2.999912e-04,0.107
2300,3.52937,,2.999802e-04,0.107
2400,3.36839,,2.999648e-04,0.106
2500,3.21272,,2.999450e-04,0.106
2600,3.10369,,2.999208e-04,0.106
2700,3.00084,,2.998922e-04,0.106
2800,2.92443,,2.998592e-04,0.106
2900,2.74300,,2.998218e-04,0.106
3000,2.67285,2.73885,2.997800e-04,0.106
3100,2.56610,,2.997338e-04,0.106
3200,2.52831,,2.996833e-04,0.106
3300,2.47463,,2.996283e-04,0.106
3400,2.39278,,2.995689e-04,0.105
3500,2.32892,,2.995052e-04,0.105
3600,2.22312,,2.994370e-04,0.105
3700,2.19953,,2.993645e-04,0.105
3800,2.13621,,2.992876e-04,0.105
3900,2.04375,,2.992064e-04,0.105
4000,2.05671,2.10653,2.991207e-04,0.105
4100,1.96449,,2.990307e-04,0.105
4200,1.96038,,2.989363e-04,0.105
4300,1.90192,,2.988375e-04,0.105
4400,1.85956,,2.987343e-04,0.105
4500,1.80496,,2.986268e-04,0.105
4600,1.78060,,2.985150e-04,0.105
4700,1.78023,,2.983988e-04,0.105
4800,1.72286,,2.982782e-04,0.105
4900,1.73873,,2.981533e-04,0.105
5000,1.70330,1.78535,2.980240e-04,0.105
5100,1.68500,,2.978904e-04,0.105
5200,1.65521,,2.977524e-04,0.105
5300,1.64027,,2.976101e-04,0.105
5400,1.58108,,2.974635e-04,0.105
5500,1.61163,,2.973126e-04,0.106
5600,1.54613,,2.971573e-04,0.106
5700,1.53611,,2.969977e-04,0.106
5800,1.52366,,2.968338e-04,0.106
5900,1.51907,,2.966656e-04,0.106
6000,1.51165,1.50381,2.964931e-04,0.106
6100,1.45256,,2.963163e-04,0.106
6200,1.44043,,2.961352e-04,0.106
6300,1.43755,,2.959498e-04,0.106
6400,1.46927,,2.957601e-04,0.106
6500,1.45466,,2.955662e-04,0.106
6600,1.40424,,2.953680e-04,0.105
6700,1.44935,,2.951655e-04,0.105
6800,1.39400,,2.949587e-04,0.106
6900,1.37812,,2.947477e-04,0.105
7000,1.32754,1.42145,2.945325e-04,0.106
7100,1.36953,,2.943130e-04,0.106
7200,1.30279,,2.940893e-04,0.105
7300,1.29652,,2.938614e-04,0.105
7400,1.31743,,2.936292e-04,0.105
7500,1.30102,,2.933928e-04,0.105
7600,1.29654,,2.931522e-04,0.105
7700,1.27172,,2.929075e-04,0.105
7800,1.28821,,2.926585e-04,0.105
7900,1.21310,,2.924053e-04,0.105
8000,1.23155,1.26052,2.921480e-04,0.105
8100,1.22137,,2.918865e-04,0.105
8200,1.25043,,2.916208e-04,0.105
8300,1.23557,,2.913510e-04,0.105
8400,1.23398,,2.910770e-04,0.105
8500,1.21869,,2.907989e-04,0.105
8600,1.16679,,2.905166e-04,0.105
8700,1.18128,,2.902303e-04,0.105
8800,1.13817,,2.899398e-04,0.105
8900,1.16731,,2.896452e-04,0.105
9000,1.14810,1.15209,2.893465e-04,0.105
9100,1.15483,,2.890437e-04,0.105
9200,1.15217,,2.887369e-04,0.105
9300,1.17517,,2.884260e-04,0.105
9400,1.09186,,2.881110e-04,0.105
9500,1.11418,,2.877919e-04,0.105
9600,1.12384,,2.874689e-04,0.105
9700,1.09342,,2.871418e-04,0.105
9800,1.14428,,2.868106e-04,0.105
9900,1.14117,,2.864755e-04,0.105
10000,1.09668,1.15562,2.861363e-04,0.105
10100,1.12076,,2.857932e-04,0.105
10200,1.08738,,2.854460e-04,0.105
10300,1.05888,,2.850949e-04,0.105
10400,1.06880,,2.847399e-04,0.105
10500,1.11609,,2.843808e-04,0.105
10600,1.07795,,2.840179e-04,0.105
10700,1.05679,,2.836510e-04,0.105
10800,1.09886,,2.832802e-04,0.105
10900,1.06484,,2.829054e-04,0.105
11000,1.05555,1.12305,2.825268e-04,0.105
11100,1.06672,,2.821443e-04,0.105
11200,1.06842,,2.817579e-04,0.105
11300,1.04565,,2.813676e-04,0.105
