step,train_loss,val_loss,lr,sec_per_step
100,8.93731,,1.500000e-05,0.085
200,8.04182,,3.000000e-05,0.083
300,7.27433,,4.500000e-05,0.082
400,6.84659,,6.000000e-05,0.077
500,6.55531,,7.500000e-05,0.078
600,6.34876,,9.000000e-05,0.078
700,6.18430,,1.050000e-04,0.079
800,6.04518,,1.200000e-04,0.076
900,5.93524,,1.350000e-04,0.076
1000,5.83275,5.70988,1.500000e-04,0.077
1100,5.72483,,1.650000e-04,0.077
1200,5.64074,,1.800000e-04,0.076
1300,5.55063,,1.950000e-04,0.076
1400,5.47571,,2.100000e-04,0.076
1500,5.39289,,2.250000e-04,0.077
1600,5.33605,,2.400000e-04,0.076
1700,5.26993,,2.550000e-04,0.076
1800,5.18955,,2.700000e-04,0.076
1900,5.13514,,2.850000e-04,0.076
2000,5.07927,4.97587,3.000000e-04,0.076
2100,5.04234,,2.999992e-04,0.076
2200,4.97633,,2.999969e-04,0.076
2300,4.93626,,2.999931e-04,0.076
2400,4.89071,,2.999877e-04,0.075
2500,4.86380,,2.999807e-04,0.076
2600,4.81690,,2.999723e-04,0.076
2700,4.77554,,2.999622e-04,0.076
2800,4.72828,,2.999507e-04,0.075
2900,4.69818,,2.999376e-04,0.075
3000,4.66748,4.54838,2.999229e-04,0.076
3100,4.64864,,2.999067e-04,0.076
3200,4.62585,,2.998890e-04,0.075
3300,4.59702,,2.998698e-04,0.075
3400,4.56446,,2.998490e-04,0.075
3500,4.54744,,2.998266e-04,0.076
3600,4.52383,,2.998027e-04,0.075
3700,4.50301,,2.997773e-04,0.075
3800,4.47030,,2.997503e-04,0.075
3900,4.44348,,2.997218e-04,0.076
4000,4.42189,4.30412,2.996918e-04,0.075
4100,4.39654,,2.996602e-04,0.075
4200,4.38149,,2.996271e-04,0.075
4300,4.36845,,2.995925e-04,0.076
4400,4.34488,,2.995563e-04,0.075
4500,4.31898,,2.995185e-04,0.075
4600,4.29153,,2.994793e-04,0.075
4700,4.28414,,2.994385e-04,0.075
4800,4.24603,,2.993961e-04,0.075
4900,4.24808,,2.993523e-04,0.075
5000,4.22677,4.12002,2.993069e-04,0.075
5100,4.21372,,2.992599e-04,0.075
5200,4.20388,,2.992115e-04,0.075
5300,4.19468,,2.991614e-04,0.075
5400,4.16070,,2.991099e-04,0.075
5500,4.14460,,2.990568e-04,0.075
5600,4.13884,,2.990022e-04,0.075
5700,4.12858,,2.989461e-04,0.075
5800,4.10519,,2.988884e-04,0.075
5900,4.08379,,2.988292e-04,0.075
6000,4.06495,3.96660,2.987685e-04,0.075
6100,4.04433,,2.987062e-04,0.075
6200,4.03745,,2.986425e-04,0.075
6300,4.01268,,2.985772e-04,0.075
6400,4.01989,,2.985103e-04,0.075
6500,4.00376,,2.984420e-04,0.075
6600,3.97143,,2.983721e-04,0.075
6700,3.95951,,2.983006e-04,0.075
6800,3.95045,,2.982277e-04,0.075
6900,3.93413,,2.981533e-04,0.075
7000,3.91294,3.80751,2.980773e-04,0.075
7100,3.91297,,2.979998e-04,0.075
7200,3.90079,,2.979207e-04,0.075
7300,3.88287,,2.978402e-04,0.075
7400,3.86108,,2.977581e-04,0.075
7500,3.85613,,2.976745e-04,0.075
7600,3.83938,,2.975894e-04,0.076
7700,3.80901,,2.975028e-04,0.076
7800,3.79634,,2.974147e-04,0.076
7900,3.80482,,2.973250e-04,0.076
8000,3.77527,3.66016,2.972339e-04,0.076
8100,3.76231,,2.971412e-04,0.076
8200,3.74351,,2.970470e-04,0.076
8300,3.71853,,2.969513e-04,0.076
8400,3.72281,,2.968541e-04,0.076
8500,3.68458,,2.967554e-04,0.076
8600,3.68006,,2.966552e-04,0.076
8700,3.66189,,2.965534e-04,0.077
8800,3.64305,,2.964502e-04,0.076
8900,3.65276,,2.963454e-04,0.077
9000,3.61681,3.53547,2.962392e-04,0.077
9100,3.62097,,2.961314e-04,0.077
9200,3.59760,,2.960222e-04,0.077
9300,3.58665,,2.959114e-04,0.077
9400,3.57262,,2.957992e-04,0.077
9500,3.55675,,2.956854e-04,0.077
9600,3.54136,,2.955702e-04,0.077
9700,3.52196,,2.954534e-04,0.077
9800,3.52011,,2.953352e-04,0.077
9900,3.49364,,2.952155e-04,0.077
10000,3.49232,3.39598,2.950942e-04,0.077
10100,3.46384,,2.949715e-04,0.078
10200,3.44868,,2.948473e-04,0.078
10300,3.43718,,2.947216e-04,0.078
10400,3.42919,,2.945944e-04,0.078
10500,3.40204,,2.944658e-04,0.078
10600,3.40794,,2.943356e-04,0.078
10700,3.41542,,2.942040e-04,0.078
10800,3.38707,,2.940709e-04,0.078
10900,3.36380,,2.939363e-04,0.078
11000,3.36874,3.27696,2.938002e-04,0.078
11100,3.35232,,2.936626e-04,0.078
11200,3.32402,,2.935236e-04,0.078
11300,3.33032,,2.933831e-04,0.078
11400,3.31016,,2.932411e-04,0.078
11500,3.28660,,2.930977e-04,0.078
11600,3.29057,,2.929527e-04,0.078
11700,3.27303,,2.928063e-04,0.078
11800,3.25354,,2.926585e-04,0.078
11900,3.24751,,2.925092e-04,0.079
12000,3.22433,3.14507,2.923584e-04,0.078
12100,3.20748,,2.922061e-04,0.079
12200,3.21542,,2.920524e-04,0.079
12300,3.17872,,2.918972e-04,0.079
12400,3.18210,,2.917406e-04,0.079
12500,3.16129,,2.915825e-04,0.079
12600,3.15467,,2.914230e-04,0.079
12700,3.15042,,2.912620e-04,0.079
12800,3.13361,,2.910995e-04,0.079
12900,3.12318,,2.909356e-04,0.079
13000,3.11114,3.03551,2.907703e-04,0.079
13100,3.08293,,2.906035e-04,0.079
13200,3.09773,,2.904352e-04,0.079
13300,3.09339,,2.902655e-04,0.079
13400,3.07193,,2.900944e-04,0.079
13500,3.06650,,2.899219e-04,0.079
13600,3.07281,,2.897479e-04,0.079
13700,3.04810,,2.895724e-04,0.079
13800,3.03081,,2.893956e-04,0.079
13900,3.01495,,2.892172e-04,0.079
14000,2.96874,2.94184,2.890375e-04,0.079
14100,3.00362,,2.888564e-04,0.079
14200,2.99576,,2.886738e-04,0.079
14300,2.97916,,2.884897e-04,0.079
14400,2.98115,,2.883043e-04,0.079
14500,2.95621,,2.881174e-04,0.079
14600,2.96059,,2.879292e-04,0.079
14700,2.96090,,2.877395e-04,0.079
14800,2.92099,,2.875484e-04,0.079
14900,2.92572,,2.873558e-04,0.079
15000,2.91588,2.85875,2.871619e-04,0.079
15100,2.91944,,2.869665e-04,0.079
15200,2.91017,,2.867698e-04,0.079
15300,2.89268,,2.865716e-04,0.079
15400,2.88606,,2.863721e-04,0.079
15500,2.87092,,2.861711e-04,0.079
15600,2.86214,,2.859687e-04,0.079
15700,2.84990,,2.857650e-04,0.079
15800,2.83663,,2.855598e-04,0.079
15900,2.84841,,2.853533e-04,0.079
16000,2.83288,2.75058,2.851453e-04,0.079
16100,2.81640,,2.849360e-04,0.079
16200,2.80204,,2.847253e-04,0.079
16300,2.81763,,2.845132e-04,0.079
16400,2.80369,,2.842997e-04,0.079
16500,2.79377,,2.840848e-04,0.079
16600,2.79325,,2.838686e-04,0.079
16700,2.76961,,2.836510e-04,0.079
16800,2.78406,,2.834320e-04,0.079
16900,2.78045,,2.832116e-04,0.079
17000,2.77872,2.67822,2.829899e-04,0.079
17100,2.75242,,2.827668e-04,0.079
17200,2.75750,,2.825423e-04,0.079
17300,2.73320,,2.823165e-04,0.079
17400,2.73628,,2.820893e-04,0.079
17500,2.74420,,2.818608e-04,0.078
17600,2.75448,,2.816309e-04,0.078
17700,2.70610,,2.813996e-04,0.078
17800,2.73649,,2.811670e-04,0.078
17900,2.70062,,2.809331e-04,0.078
18000,2.69235,2.62574,2.806978e-04,0.078
18100,2.67449,,2.804612e-04,0.078
18200,2.69616,,2.802232e-04,0.078
18300,2.66749,,2.799839e-04,0.078
18400,2.70301,,2.797432e-04,0.078
18500,2.68941,,2.795012e-04,0.078
18600,2.66949,,2.792579e-04,0.078
18700,2.65797,,2.790133e-04,0.078
18800,2.64498,,2.787673e-04,0.078
18900,2.62526,,2.785200e-04,0.078
19000,2.66795,2.57965,2.782714e-04,0.078
19100,2.61954,,2.780215e-04,0.078
19200,2.61764,,2.777702e-04,0.078
19300,2.63834,,2.775177e-04,0.078
19400,2.65283,,2.772638e-04,0.078
19500,2.61740,,2.770086e-04,0.078
19600,2.58271,,2.767521e-04,0.078
19700,2.57161,,2.764944e-04,0.078
19800,2.57323,,2.762353e-04,0.078
19900,2.58593,,2.759749e-04,0.078
20000,2.57504,2.51738,2.757132e-04,0.078
20100,2.55328,,2.754502e-04,0.079
20200,2.56220,,2.751860e-04,0.079
20300,2.57452,,2.749204e-04,0.079
20400,2.56486,,2.746536e-04,0.079
20500,2.57001,,2.743855e-04,0.079
20600,2.56109,,2.741161e-04,0.079
20700,2.52704,,2.738455e-04,0.079
20800,2.54789,,2.735735e-04,0.079
20900,2.54057,,2.733003e-04,0.079
21000,2.53205,2.45226,2.730258e-04,0.079
21100,2.54695,,2.727501e-04,0.079
21200,2.52954,,2.724731e-04,0.079
21300,2.53515,,2.721948e-04,0.079
21400,2.49984,,2.719153e-04,0.079
21500,2.50278,,2.716346e-04,0.079
21600,2.51853,,2.713525e-04,0.079
21700,2.52543,,2.710693e-04,0.079
21800,2.51274,,2.707848e-04,0.079
21900,2.48207,,2.704990e-04,0.079
22000,2.49358,2.41521,2.702120e-04,0.079
22100,2.45733,,2.699238e-04,0.079
22200,2.44502,,2.696344e-04,0.079
22300,2.49663,,2.693437e-04,0.079
22400,2.43674,,2.690518e-04,0.079
22500,2.44705,,2.687586e-04,0.079
22600,2.44853,,2.684643e-04,0.079
22700,2.43645,,2.681687e-04,0.079
22800,2.45705,,2.678719e-04,0.079
22900,2.44045,,2.675739e-04,0.079
23000,2.43044,2.36758,2.672747e-04,0.079
23100,2.43705,,2.669743e-04,0.079
23200,2.43739,,2.666727e-04,0.079
23300,2.40677,,2.663699e-04,0.079
23400,2.42005,,2.660659e-04,0.079
23500,2.44574,,2.657607e-04,0.079
23600,2.41146,,2.654543e-04,0.079
23700,2.41216,,2.651467e-04,0.079
23800,2.41865,,2.648380e-04,0.079
23900,2.40225,,2.645280e-04,0.079
24000,2.39317,2.33459,2.642169e-04,0.079
24100,2.40991,,2.639046e-04,0.079
24200,2.39272,,2.635911e-04,0.079
24300,2.38635,,2.632765e-04,0.079
24400,2.43018,,2.629607e-04,0.079
24500,2.37310,,2.626438e-04,0.080
24600,2.38301,,2.623257e-04,0.079
24700,2.38919,,2.620064e-04,0.080
24800,2.35870,,2.616860e-04,0.080
24900,2.36665,,2.613644e-04,0.080
25000,2.35759,2.27343,2.610417e-04,0.080
25100,2.35206,,2.607178e-04,0.080
25200,2.37576,,2.603929e-04,0.080
25300,2.33450,,2.600667e-04,0.080
25400,2.35236,,2.597395e-04,0.080
25500,2.36156,,2.594111e-04,0.080
25600,2.34418,,2.590816e-04,0.080
25700,2.30101,,2.587510e-04,0.080
25800,2.33454,,2.584192e-04,0.080
25900,2.31344,,2.580864e-04,0.080
26000,2.32813,2.25379,2.577524e-04,0.080
26100,2.32464,,2.574173e-04,0.080
26200,2.32014,,2.570811e-04,0.080
26300,2.28859,,2.567439e-04,0.080
26400,2.31020,,2.564055e-04,0.080
26500,2.30657,,2.560660e-04,0.080
26600,2.28908,,2.557255e-04,0.080
26700,2.28673,,2.553838e-04,0.080
26800,2.27097,,2.550411e-04,0.080
26900,2.29388,,2.546973e-04,0.080
27000,2.27853,2.20901,2.543524e-04,0.080
27100,2.30626,,2.540064e-04,0.080
27200,2.24749,,2.536594e-04,0.080
27300,2.25478,,2.533113e-04,0.080
27400,2.29723,,2.529622e-04,0.080
27500,2.28449,,2.526119e-04,0.080
27600,2.27193,,2.522607e-04,0.080
27700,2.26005,,2.519084e-04,0.080
27800,2.28548,,2.515550e-04,0.080
27900,2.24955,,2.512006e-04,0.080
28000,2.29304,2.17031,2.508451e-04,0.080
28100,2.26978,,2.504886e-04,0.080
28200,2.24505,,2.501311e-04,0.080
28300,2.24040,,2.497726e-04,0.080
28400,2.25579,,2.494130e-04,0.080
28500,2.27070,,2.490524e-04,0.080
28600,2.23247,,2.486908e-04,0.080
28700,2.29365,,2.483282e-04,0.080
28800,2.27818,,2.479645e-04,0.080
28900,2.24498,,2.475999e-04,0.080
29000,2.21406,2.16625,2.472343e-04,0.080
29100,2.24507,,2.468676e-04,0.080
29200,2.24702,,2.465000e-04,0.080
29300,2.27046,,2.461313e-04,0.080
29400,2.25150,,2.457617e-04,0.080
29500,2.24691,,2.453911e-04,0.080
29600,2.24706,,2.450195e-04,0.080
29700,2.21532,,2.446470e-04,0.080
29800,2.23648,,2.442734e-04,0.080
29900,2.20618,,2.438989e-04,0.080
30000,2.21932,2.13115,2.435235e-04,0.080
30100,2.21110,,2.431470e-04,0.080
30200,2.21454,,2.427697e-04,0.080
30300,2.21941,,2.423913e-04,0.080
30400,2.19384,,2.420120e-04,0.080
30500,2.23816,,2.416318e-04,0.080
30600,2.21933,,2.412506e-04,0.080
30700,2.20611,,2.408685e-04,0.080
30800,2.21771,,2.404855e-04,0.080
30900,2.20821,,2.401015e-04,0.080
31000,2.18835,2.12358,2.397166e-04,0.080
31100,2.21623,,2.393308e-04,0.080
31200,2.19726,,2.389440e-04,0.080
31300,2.16139,,2.385564e-04,0.080
31400,2.18912,,2.381678e-04,0.080
31500,2.21357,,2.377783e-04,0.080
31600,2.16817,,2.373879e-04,0.080
31700,2.17306,,2.369967e-04,0.080
31800,2.19171,,2.366045e-04,0.080
31900,2.17925,,2.362114e-04,0.080
32000,2.17737,2.08566,2.358175e-04,0.080
32100,2.19660,,2.354227e-04,0.080
32200,2.15402,,2.350270e-04,0.080
32300,2.17278,,2.346304e-04,0.080
32400,2.13066,,2.342329e-04,0.080
32500,2.18125,,2.338346e-04,0.080
32600,2.13348,,2.334355e-04,0.080
32700,2.15456,,2.330354e-04,0.080
32800,2.15619,,2.326345e-04,0.080
32900,2.15939,,2.322328e-04,0.080
33000,2.16551,2.07692,2.318302e-04,0.080
33100,2.11773,,2.314268e-04,0.080
33200,2.15087,,2.310226e-04,0.080
33300,2.15871,,2.306175e-04,0.080
33400,2.12260,,2.302116e-04,0.080
33500,2.12271,,2.298048e-04,0.080
33600,2.13937,,2.293972e-04,0.080
