step,train_loss,val_loss,lr,sec_per_step
100,8.92659,,1.500000e-05,0.087
200,8.04505,,3.000000e-05,0.083
300,7.27013,,4.500000e-05,0.083
400,6.79826,,6.000000e-05,0.079
500,6.48331,,7.500000e-05,0.080
600,6.22925,,9.000000e-05,0.081
700,6.00794,,1.050000e-04,0.082
800,5.83373,,1.200000e-04,0.080
900,5.68704,,1.350000e-04,0.081
1000,5.55793,5.40581,1.500000e-04,0.081
1100,5.42138,,1.650000e-04,0.081
1200,5.30530,,1.800000e-04,0.079
1300,5.17496,,1.950000e-04,0.079
1400,5.06855,,2.100000e-04,0.080
1500,4.95865,,2.250000e-04,0.080
1600,4.82451,,2.400000e-04,0.079
1700,4.69807,,2.550000e-04,0.080
1800,4.59982,,2.700000e-04,0.080
1900,4.47242,,2.850000e-04,0.080
2000,4.34568,4.20137,3.000000e-04,0.079
2100,4.24225,,2.999992e-04,0.080
2200,4.11222,,2.999969e-04,0.080
2300,3.99604,,2.999931e-04,0.080
2400,3.88811,,2.999877e-04,0.080
2500,3.77308,,2.999807e-04,0.080
2600,3.62105,,2.999723e-04,0.080
2700,3.54180,,2.999622e-04,0.080
2800,3.39612,,2.999507e-04,0.080
2900,3.32772,,2.999376e-04,0.080
3000,3.17479,3.01464,2.999229e-04,0.080
3100,3.07658,,2.999067e-04,0.080
3200,2.99305,,2.998890e-04,0.080
3300,2.92463,,2.998698e-04,0.080
3400,2.86723,,2.998490e-04,0.080
3500,2.78064,,2.998266e-04,0.079
3600,2.67450,,2.998027e-04,0.079
3700,2.62990,,2.997773e-04,0.079
3800,2.53508,,2.997503e-04,0.079
3900,2.49289,,2.997218e-04,0.079
4000,2.39463,2.26791,2.996918e-04,0.079
4100,2.38441,,2.996602e-04,0.079
4200,2.31434,,2.996271e-04,0.079
4300,2.25369,,2.995925e-04,0.079
4400,2.19411,,2.995563e-04,0.079
4500,2.19602,,2.995185e-04,0.079
4600,2.15964,,2.994793e-04,0.079
4700,2.07531,,2.994385e-04,0.078
4800,2.05405,,2.993961e-04,0.078
4900,1.98888,,2.993523e-04,0.078
5000,1.99411,1.82158,2.993069e-04,0.079
5100,1.91818,,2.992599e-04,0.078
5200,1.93953,,2.992115e-04,0.078
5300,1.91957,,2.991614e-04,0.078
5400,1.86600,,2.991099e-04,0.078
5500,1.86274,,2.990568e-04,0.078
5600,1.82410,,2.990022e-04,0.078
5700,1.80369,,2.989461e-04,0.078
5800,1.78213,,2.988884e-04,0.078
5900,1.77718,,2.988292e-04,0.078
6000,1.74560,1.61151,2.987685e-04,0.078
6100,1.74817,,2.987062e-04,0.078
6200,1.71220,,2.986425e-04,0.078
6300,1.72873,,2.985772e-04,0.078
6400,1.70425,,2.985103e-04,0.078
6500,1.65435,,2.984420e-04,0.078
6600,1.66095,,2.983721e-04,0.078
6700,1.65026,,2.983006e-04,0.078
6800,1.62358,,2.982277e-04,0.078
6900,1.63028,,2.981533e-04,0.078
7000,1.60114,1.47513,2.980773e-04,0.078
7100,1.58724,,2.979998e-04,0.078
7200,1.57330,,2.979207e-04,0.077
7300,1.58707,,2.978402e-04,0.078
7400,1.57978,,2.977581e-04,0.078
7500,1.60135,,2.976745e-04,0.078
7600,1.57763,,2.975894e-04,0.077
7700,1.55338,,2.975028e-04,0.077
7800,1.56611,,2.974147e-04,0.077
7900,1.56479,,2.973250e-04,0.077
8000,1.53662,1.39602,2.972339e-04,0.077
8100,1.50662,,2.971412e-04,0.077
8200,1.51530,,2.970470e-04,0.077
8300,1.51876,,2.969513e-04,0.077
8400,1.49866,,2.968541e-04,0.077
8500,1.48145,,2.967554e-04,0.077
8600,1.46589,,2.966552e-04,0.077
8700,1.49239,,2.965534e-04,0.077
8800,1.50352,,2.964502e-04,0.077
8900,1.46029,,2.963454e-04,0.077
9000,1.47270,1.34170,2.962392e-04,0.077
9100,1.45874,,2.961314e-04,0.077
9200,1.45822,,2.960222e-04,0.077
9300,1.44534,,2.959114e-04,0.077
9400,1.45480,,2.957992e-04,0.077
9500,1.42721,,2.956854e-04,0.077
9600,1.42488,,2.955702e-04,0.077
9700,1.42160,,2.954534e-04,0.077
9800,1.43102,,2.953352e-04,0.077
9900,1.41879,,2.952155e-04,0.077
10000,1.39504,1.30810,2.950942e-04,0.077
10100,1.43337,,2.949715e-04,0.077
10200,1.42801,,2.948473e-04,0.077
10300,1.42640,,2.947216e-04,0.077
10400,1.40797,,2.945944e-04,0.077
10500,1.39627,,2.944658e-04,0.077
10600,1.40695,,2.943356e-04,0.077
10700,1.36527,,2.942040e-04,0.077
10800,1.41170,,2.940709e-04,0.077
10900,1.37375,,2.939363e-04,0.077
11000,1.39766,1.26274,2.938002e-04,0.077
11100,1.38708,,2.936626e-04,0.077
11200,1.38903,,2.935236e-04,0.077
11300,1.36550,,2.933831e-04,0.077
11400,1.36715,,2.932411e-04,0.077
11500,1.37724,,2.930977e-04,0.077
