step,train_loss,val_loss,lr,sec_per_step
50,3.86269,,3.000000e-05,1.811
100,2.52018,,6.000000e-05,1.810
150,1.04567,,9.000000e-05,1.772
200,0.42444,,1.200000e-04,1.755
250,0.19041,,1.500000e-04,1.795
300,0.10107,,1.800000e-04,1.777
350,0.07001,,2.100000e-04,1.778
400,0.05329,,2.400000e-04,1.787
450,0.04735,,2.700000e-04,1.770
500,0.05371,5.72866,3.000000e-04,1.772
550,0.04799,,2.981533e-04,1.766
600,0.03764,,2.926585e-04,1.762
650,0.04593,,2.836510e-04,1.769
700,0.03279,,2.713525e-04,1.768
750,0.01755,,2.560660e-04,1.756
800,0.01595,,2.381678e-04,1.756
850,0.01698,,2.180986e-04,1.756
900,0.00798,,1.963525e-04,1.759
950,0.00326,,1.734652e-04,1.763
1000,0.00136,6.88372,1.500000e-04,1.761
1050,0.00064,,1.265348e-04,1.759
1100,0.00036,,1.036475e-04,1.756
1150,0.00024,,8.190143e-05,1.755
1200,0.00019,,6.183221e-05,1.755
1250,0.00017,,4.393398e-05,1.754
1300,0.00016,,2.864745e-05,1.748
1350,0.00015,,1.634902e-05,1.749
1400,0.00015,,7.341523e-06,1.750
1450,0.00015,,1.846749e-06,1.755
1500,0.00015,7.06185,0.000000e+00,1.762
