step,train_loss,val_loss,lr,sec_per_step
50,3.55874,,1.666667e-05,1.657
100,3.40465,,3.333333e-05,1.574
150,3.27888,,5.000000e-05,1.540
200,3.19783,,6.666667e-05,1.523
250,3.16062,,8.333333e-05,1.518
300,3.15805,,1.000000e-04,1.513
350,3.17558,,9.991541e-05,1.519
400,3.15473,,9.966192e-05,1.518
450,3.13326,,9.924039e-05,1.513
500,3.13355,2.75260,9.865224e-05,1.539
550,3.13936,,9.789948e-05,1.536
600,3.13428,,9.698463e-05,1.530
650,3.13283,,9.591081e-05,1.526
700,3.14502,,9.468163e-05,1.521
750,3.11454,,9.330127e-05,1.519
800,3.10622,,9.177439e-05,1.518
850,3.10953,,9.010616e-05,1.517
900,3.12149,,8.830222e-05,1.517
950,3.11313,,8.636868e-05,1.518
1000,3.13860,2.73294,8.431208e-05,1.534
1050,3.10114,,8.213938e-05,1.531
1100,3.09067,,7.985793e-05,1.532
1150,3.10906,,7.747545e-05,1.535
1200,3.10487,,7.500000e-05,1.534
1250,3.07795,,7.243996e-05,1.531
1300,3.09368,,6.980399e-05,1.529
1350,3.10250,,6.710101e-05,1.527
1400,3.10239,,6.434016e-05,1.525
1450,3.07287,,6.153079e-05,1.523
1500,3.08561,2.72065,5.868241e-05,1.529
1550,3.10195,,5.580465e-05,1.529
1600,3.09516,,5.290724e-05,1.527
1650,3.08631,,5.000000e-05,1.527
1700,3.08605,,4.709276e-05,1.526
1750,3.07845,,4.419535e-05,1.524
1800,3.08822,,4.131759e-05,1.524
1850,3.09235,,3.846921e-05,1.523
1900,3.11086,,3.565984e-05,1.522
1950,3.08393,,3.289899e-05,1.523
2000,3.09788,2.70503,3.019601e-05,1.530
2050,3.08845,,2.756004e-05,1.528
2100,3.08962,,2.500000e-05,1.527
2150,3.05858,,2.252455e-05,1.528
2200,3.07371,,2.014207e-05,1.526
2250,3.08357,,1.786062e-05,1.526
2300,3.07393,,1.568792e-05,1.524
2350,3.06599,,1.363132e-05,1.523
2400,3.07866,,1.169778e-05,1.522
2450,3.07884,,9.893840e-06,1.521
2500,3.06897,2.70071,8.225609e-06,1.525
2550,3.08351,,6.698730e-06,1.524
2600,3.09674,,5.318368e-06,1.523
2650,3.07336,,4.089195e-06,1.522
2700,3.05937,,3.015369e-06,1.520
2750,3.04211,,2.100524e-06,1.519
2800,3.05701,,1.347756e-06,1.518
2850,3.05462,,7.596123e-07,1.517
2900,3.08679,,3.380821e-07,1.516
2950,3.08445,,8.459209e-08,1.516
3000,3.04428,2.69769,0.000000e+00,1.520
