step,train_loss,val_loss,lr,sec_per_step
50,3.54550,,1.666667e-05,1.590
100,3.41621,,3.333333e-05,1.510
150,3.28647,,5.000000e-05,1.480
200,3.20853,,6.666667e-05,1.469
250,3.17370,,8.333333e-05,1.462
300,3.16796,,1.000000e-04,1.458
350,3.16635,,9.991541e-05,1.453
400,3.15119,,9.966192e-05,1.449
450,3.12315,,9.924039e-05,1.450
500,3.10466,2.74183,9.865224e-05,1.471
550,3.11604,,9.789948e-05,1.467
600,3.10863,,9.698463e-05,1.462
650,3.10154,,9.591081e-05,1.460
700,3.10322,,9.468163e-05,1.457
750,3.07918,,9.330127e-05,1.457
800,3.05778,,9.177439e-05,1.457
850,3.04766,,9.010616e-05,1.456
900,3.04043,,8.830222e-05,1.455
950,3.04076,,8.636868e-05,1.453
1000,3.06063,2.65893,8.431208e-05,1.463
1050,3.01378,,8.213938e-05,1.462
1100,2.99811,,7.985793e-05,1.461
1150,3.00536,,7.747545e-05,1.460
1200,2.99126,,7.500000e-05,1.459
1250,2.96000,,7.243996e-05,1.458
1300,2.96101,,6.980399e-05,1.457
1350,2.95430,,6.710101e-05,1.456
1400,2.94224,,6.434016e-05,1.455
1450,2.91105,,6.153079e-05,1.455
1500,2.90360,2.54826,5.868241e-05,1.461
1550,2.91278,,5.580465e-05,1.460
1600,2.89379,,5.290724e-05,1.458
1650,2.87206,,5.000000e-05,1.458
1700,2.85150,,4.709276e-05,1.457
1750,2.83730,,4.419535e-05,1.456
1800,2.83996,,4.131759e-05,1.456
1850,2.83281,,3.846921e-05,1.456
1900,2.83781,,3.565984e-05,1.456
1950,2.80626,,3.289899e-05,1.456
2000,2.81112,2.45066,3.019601e-05,1.461
2050,2.80072,,2.756004e-05,1.461
2100,2.77863,,2.500000e-05,1.462
2150,2.74965,,2.252455e-05,1.462
2200,2.75084,,2.014207e-05,1.462
2250,2.74704,,1.786062e-05,1.461
2300,2.72946,,1.568792e-05,1.461
2350,2.71734,,1.363132e-05,1.461
2400,2.72338,,1.169778e-05,1.461
2450,2.71082,,9.893840e-06,1.463
2500,2.72881,2.39483,8.225609e-06,1.468
2550,2.71813,,6.698730e-06,1.467
2600,2.73174,,5.318368e-06,1.466
2650,2.70917,,4.089195e-06,1.465
2700,2.69639,,3.015369e-06,1.465
2750,2.67612,,2.100524e-06,1.465
2800,2.69417,,1.347756e-06,1.464
2850,2.68722,,7.596123e-07,1.463
2900,2.71619,,3.380821e-07,1.463
2950,2.71010,,8.459209e-08,1.463
3000,2.67414,2.38212,0.000000e+00,1.466
