step,train_loss,val_loss,lr,sec_per_step
50,3.60099,,1.666667e-05,1.657
100,3.42138,,3.333333e-05,1.594
150,3.27994,,5.000000e-05,1.565
200,3.20403,,6.666667e-05,1.547
250,3.17106,,8.333333e-05,1.531
300,3.16621,,1.000000e-04,1.523
350,3.16332,,9.991541e-05,1.514
400,3.14138,,9.966192e-05,1.508
450,3.10663,,9.924039e-05,1.501
500,3.07704,2.69251,9.865224e-05,1.518
550,3.08309,,9.789948e-05,1.514
600,3.06961,,9.698463e-05,1.511
650,3.05994,,9.591081e-05,1.507
700,3.05795,,9.468163e-05,1.507
750,3.03491,,9.330127e-05,1.504
800,3.00897,,9.177439e-05,1.502
850,3.00019,,9.010616e-05,1.500
900,2.99408,,8.830222e-05,1.500
950,2.99499,,8.636868e-05,1.497
1000,3.01269,2.61317,8.431208e-05,1.506
1050,2.96796,,8.213938e-05,1.504
1100,2.95045,,7.985793e-05,1.502
1150,2.95894,,7.747545e-05,1.501
1200,2.94767,,7.500000e-05,1.501
1250,2.92051,,7.243996e-05,1.500
1300,2.92627,,6.980399e-05,1.500
1350,2.92522,,6.710101e-05,1.499
1400,2.92093,,6.434016e-05,1.498
1450,2.89225,,6.153079e-05,1.496
1500,2.88506,2.54640,5.868241e-05,1.503
1550,2.90090,,5.580465e-05,1.502
1600,2.88753,,5.290724e-05,1.501
1650,2.86826,,5.000000e-05,1.500
1700,2.85100,,4.709276e-05,1.499
1750,2.83956,,4.419535e-05,1.498
1800,2.85040,,4.131759e-05,1.497
1850,2.84354,,3.846921e-05,1.496
1900,2.85973,,3.565984e-05,1.495
1950,2.82951,,3.289899e-05,1.494
2000,2.83993,2.47736,3.019601e-05,1.500
2050,2.82736,,2.756004e-05,1.500
2100,2.81410,,2.500000e-05,1.499
2150,2.78704,,2.252455e-05,1.499
2200,2.79319,,2.014207e-05,1.499
2250,2.79096,,1.786062e-05,1.498
2300,2.77522,,1.568792e-05,1.498
2350,2.76899,,1.363132e-05,1.497
2400,2.77237,,1.169778e-05,1.496
2450,2.76349,,9.893840e-06,1.497
2500,2.78070,2.43594,8.225609e-06,1.502
2550,2.76721,,6.698730e-06,1.501
2600,2.78268,,5.318368e-06,1.501
2650,2.76075,,4.089195e-06,1.500
2700,2.75411,,3.015369e-06,1.499
2750,2.73091,,2.100524e-06,1.498
2800,2.74901,,1.347756e-06,1.498
2850,2.74039,,7.596123e-07,1.497
2900,2.77371,,3.380821e-07,1.496
2950,2.76300,,8.459209e-08,1.496
3000,2.72560,2.42631,0.000000e+00,1.500
